TimeStamp;RH
26.9.2020 22:32;92,6
26.9.2020 22:47;93,1
26.9.2020 23:02;93,1
26.9.2020 23:17;94
26.9.2020 23:32;95,5
26.9.2020 23:47;95
27.9.2020 0:02;96
27.9.2020 0:17;97,5
27.9.2020 0:32;97
27.9.2020 0:47;97,5
27.9.2020 1:02;97,5
27.9.2020 1:17;97,5
27.9.2020 1:32;98,9
27.9.2020 1:47;98,9
27.9.2020 2:02;98,9
27.9.2020 2:17;98,9
27.9.2020 2:32;99,4
27.9.2020 2:47;99,9
27.9.2020 3:02;100,4
27.9.2020 3:17;100,4
27.9.2020 3:32;100,9
27.9.2020 3:47;101,4
27.9.2020 4:02;102,4
27.9.2020 4:17;102,4
27.9.2020 4:32;102,4
27.9.2020 4:47;102,9
27.9.2020 5:02;103,8
27.9.2020 5:17;104,3
27.9.2020 5:32;104,3
27.9.2020 5:47;104,8
27.9.2020 6:02;105,8
27.9.2020 6:17;106,3
27.9.2020 6:32;106,8
27.9.2020 6:47;106,3
27.9.2020 7:02;106,8
27.9.2020 7:17;107,8
27.9.2020 7:32;107,8
27.9.2020 7:47;107,3
27.9.2020 8:02;106,3
27.9.2020 8:17;104,8
27.9.2020 8:32;102,4
27.9.2020 8:47;98
27.9.2020 9:02;96,5
27.9.2020 9:17;94,5
27.9.2020 9:32;93,1
27.9.2020 9:47;90,6
27.9.2020 10:02;88,2
27.9.2020 10:17;86,2
27.9.2020 10:32;86,7
27.9.2020 10:47;85,2
27.9.2020 11:02;83,2
27.9.2020 11:17;80,8
27.9.2020 11:32;78,3
27.9.2020 11:47;74,8
27.9.2020 12:02;74,3
27.9.2020 12:17;71,9
27.9.2020 12:32;70,9
27.9.2020 12:47;69,4
27.9.2020 13:02;68,9
27.9.2020 13:17;66,4
27.9.2020 13:32;66,9
27.9.2020 13:47;66,9
27.9.2020 14:02;66,9
27.9.2020 14:17;64,9
27.9.2020 14:32;67,4
27.9.2020 14:47;65,9
27.9.2020 15:02;64,9
27.9.2020 15:17;66,4
27.9.2020 15:32;65,4
27.9.2020 15:47;66,9
27.9.2020 16:02;67,4
27.9.2020 16:17;70,9
27.9.2020 16:32;72,4
27.9.2020 16:47;72,4
27.9.2020 17:02;73,4
27.9.2020 17:17;76,3
27.9.2020 17:32;76,8
27.9.2020 17:47;77,3
27.9.2020 18:02;78,3
27.9.2020 18:17;78,3
27.9.2020 18:32;79,3
27.9.2020 18:47;80,8
27.9.2020 19:02;81,7
27.9.2020 19:17;84,2
27.9.2020 19:32;86,2
27.9.2020 19:47;88,2
27.9.2020 20:02;88,2
27.9.2020 20:17;89,1
27.9.2020 20:32;90,6
27.9.2020 20:47;93,6
27.9.2020 21:02;94
27.9.2020 21:17;95,5
27.9.2020 21:32;96
27.9.2020 21:47;97,5
27.9.2020 22:02;97,5
27.9.2020 22:17;98,5
27.9.2020 22:32;99,9
27.9.2020 22:47;100,4
27.9.2020 23:02;100,9
27.9.2020 23:17;100,9
27.9.2020 23:32;102,9
27.9.2020 23:47;102,9
28.9.2020 0:02;103,4
28.9.2020 0:17;103,8
28.9.2020 0:32;103,8
28.9.2020 0:47;103,8
28.9.2020 1:02;102,9
28.9.2020 1:17;102,4
28.9.2020 1:32;101,4
28.9.2020 1:47;101,4
28.9.2020 2:02;100,4
28.9.2020 2:17;100,4
28.9.2020 2:32;100,4
28.9.2020 2:47;100,4
28.9.2020 3:02;99,9
28.9.2020 3:17;98,5
28.9.2020 3:32;99,9
28.9.2020 3:47;100,4
28.9.2020 4:02;100,4
28.9.2020 4:17;100,4
28.9.2020 4:32;101,4
28.9.2020 4:47;101,4
28.9.2020 5:02;101,4
28.9.2020 5:17;100,9
28.9.2020 5:32;99,9
28.9.2020 5:47;99,9
28.9.2020 6:02;99,4
28.9.2020 6:17;99,9
28.9.2020 6:32;100,9
28.9.2020 6:47;101,4
28.9.2020 7:02;101,9
28.9.2020 7:17;102,4
28.9.2020 7:32;102,4
28.9.2020 7:47;101,4
28.9.2020 8:02;99,4
28.9.2020 8:17;97
28.9.2020 8:32;93,1
28.9.2020 8:47;90,6
28.9.2020 9:02;89,6
28.9.2020 9:17;87,2
28.9.2020 9:32;87,7
28.9.2020 9:47;86,2
28.9.2020 10:02;83,7
28.9.2020 10:17;82,7
28.9.2020 10:32;81,3
28.9.2020 10:47;79,3
28.9.2020 11:02;74,3
28.9.2020 11:17;72,9
28.9.2020 11:32;71,9
28.9.2020 11:47;71,9
28.9.2020 12:02;69,4
28.9.2020 12:17;67,4
28.9.2020 12:32;66,9
28.9.2020 12:47;67,4
28.9.2020 13:02;64,4
28.9.2020 13:17;65,9
28.9.2020 13:32;64,4
28.9.2020 13:47;62,5
28.9.2020 14:02;63,5
28.9.2020 14:17;64,4
28.9.2020 14:32;63
28.9.2020 14:47;62,5
28.9.2020 15:02;64,9
28.9.2020 15:17;65,4
28.9.2020 15:32;65,4
